Model ,Device Type ,Brand Name ,Number Of Ports ,VID ,DID ,SVID ,SSID ,Release/Detail URL,Releases
4Y37A72483 - ThinkSystem RAID 9350-8i 2GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="8",="9005",028f,1d49,="0620",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=52907,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5
4Y37A72484 - ThinkSystem RAID 9350-8i 2GB Flash PCIe 12Gb Internal Adapter,SAS/SATA-RAID,Lenovo,="8",="9005",028f,1d49,="0621",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55692,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5
4Y37A72485 - ThinkSystem RAID 9350-16i 4GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="16",="9005",028f,1d49,="0622",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=52908,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5
4Y37A72486 - ThinkSystem RAID 9350-16i 4GB Flash PCIe 12Gb Internal Adapter,SAS/SATA-RAID,Lenovo,="16",="9005",028f,1d49,="0623",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55693,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5
4Y37A84028 - ThinkSystem RAID 5350-8i PCIe 12Gb Internal Adapter,SAS/SATA-RAID,Lenovo,="8",="9005",028f,1d49,="0522",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56897,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
7M17A03932 - ThinkSystem RAID 530-4i Flex Adapter (SN850),SAS/SATA-RAID,Lenovo,="4",="1000",001c,1d49,="0501",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44082,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7M17A03933 - ThinkSystem RAID 930-4i 2GB Flash Flex Adapter (SN850),SAS/SATA-RAID,Lenovo,="4",="1000",001b,1d49,="0605",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44045,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7M27A03917 - ThinkSystem RAID 930-4i 2GB Flash Flex Adapter (SN550),SAS/SATA-RAID,Lenovo,="4",="1000",001b,1d49,="0605",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44044,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7M27A03918 - ThinkSystem RAID 530-4i Flex Adapter (SN550),SAS/SATA-RAID,Lenovo,="4",="1000",001c,1d49,="0501",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44083,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7Y37A01082 - ThinkSystem RAID 530-8i PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="8",="1000",="0017",1d49,="0500",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44081,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7Y37A01084 - ThinkSystem RAID 930-8i 2GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="8",="1000",="0016",1d49,="0601",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44041,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7Y37A01085 - ThinkSystem RAID 930-16i 4GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="16",="1000",="0014",1d49,="0602",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44125,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7Y37A01086 - ThinkSystem RAID 930-24i 4GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="24",="1000",="0016",1d49,="0603",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44042,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
7Y37A01087 - ThinkSystem RAID 930-8e 4GB Flash PCIe 12Gb Adapter,SAS/SATA-RAID,Lenovo,="8",="1000",="0014",1d49,="0604",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44043,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
ThinkSystem RAID 530-8i Dense Adapter,SAS/SATA-RAID,Lenovo,="8",="1000",="0017",1d49,="0502",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44084,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
HBA-H5408-Mf-8i,SAS/SATA-RAID,New H3C Technolgies Co. Ltd,="8",="1000",="0017",193d,="1101",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=52076,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
UCSC-RAID-M5,SAS/SATA-RAID,Cisco,="16",="1000",="0014",="1137",020e,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44071,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
UCSC-RAID-M5HD,SAS/SATA-RAID,Cisco,="26",="1000",="0016",="1137",="0210",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44072,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
UCSC-RAID-M6HD,SAS/SATA-RAID,Cisco,="32",="1000",="10e2",="1137",02a6,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=53228,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3
UCSC-RAID-M6SD,SAS/SATA-RAID,Cisco,="28",="1000",="10e2",="1137",02bc,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=53229,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3
UCSC-RAID-M6T,SAS/SATA-RAID,Cisco,="16",="1000",="10e2",="1137",02a4,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=53227,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3
UCSC-SAS-M6T Cisco 12G SAS HBA (16 Drives),SAS/SATA-RAID,Cisco,="16",="1137",="00e6",="1137",="1000",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=59117,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
UCSC-SAS9460-8I,SAS/SATA-RAID,Cisco,="8",="1000",="0016",="1137",="0213",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44516,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
UCSX-X10C-RAIDF,SAS/SATA-RAID,Cisco,="16",="1000",="10e2",="1137",02bd,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=53230,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3
XC170-M-16i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="10e6",1f24,="3005",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56983,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XC170-M-8i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="10e6",1f24,="3002",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56981,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XC370-M-16i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="16",="1000",="00e6",1f24,="3007",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56977,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XC370-M-8i,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="00e6",1f24,="3006",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=56975,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0
XP150-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",="0017",1f24,d213,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55796,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7
XP150IT-M,SAS/SATA-RAID,xFusion Digital Technologies Co. Ltd,="8",="1000",00af,1f24,d225,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=55748,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3
